0,250,0,55
1,256,1,55
2,261,2,55
3,274,3,58
4,276,4,58
5,282,5,57
6,289,6,57
7,292,7,55
8,298,8,56
9,301,9,58
10,312,10,59
11,320,11,56
12,327,12,57
13,343,13,58
14,349,14,62
15,360,15,66
16,360,16,70
17,366,17,72
18,381,18,69
19,386,19,67
20,395,20,66
21,402,21,65
22,405,22,65
23,410,23,66
24,418,24,70
25,425,25,72
26,425,26,74
27,438,27,78
28,441,28,78
29,446,29,83
30,451,30,85
31,454,31,88
32,455,32,94
33,466,33,96
34,476,34,98
35,481,35,99
36,478,36,103
37,484,37,111
38,481,38,118
39,475,39,124
40,467,40,125
41,469,41,131
42,467,42,133
43,470,43,138
44,470,44,143
45,460,45,143
46,467,46,146
47,472,47,154
48,480,48,158
49,482,49,163
50,472,50,166
51,462,51,175
52,454,52,180
53,443,53,183
54,435,54,193
55,435,55,203
56,413,56,217
57,401,57,225
58,383,58,226
59,363,59,238
60,355,60,249
61,339,61,263
62,328,62,268
63,306,63,274
64,297,64,285
65,279,65,294
66,262,66,304
67,255,67,313
68,237,68,325
69,216,69,331
70,205,70,342
71,186,71,345
72,181,72,366
73,174,73,372
74,158,74,382
75,145,75,402
76,131,76,414
77,122,77,434
78,112,78,445
79,93,79,453
80,84,80,469
81,78,81,467
82,66,82,470
83,62,83,480
84,59,84,479
85,54,85,470
86,49,86,474
87,40,87,484
88,37,88,491
89,32,89,485
90,31,90,492
91,28,91,481
92,28,92,485
93,25,93,471
94,26,94,455
95,26,95,444
96,24,96,419
97,26,97,409
98,24,98,397
99,20,99,383
100,19,100,363
101,16,101,344
102,17,102,322
103,14,103,315
104,13,104,297
105,11,105,298
106,9,106,285
107,8,107,277
108,6,108,251
109,5,109,232
110,5,110,216
111,4,111,212
112,3,112,200
113,3,113,185
114,3,114,168
115,3,115,170
116,3,116,150
117,4,117,140
118,5,118,136
119,5,119,132
120,5,120,123
121,5,121,122
122,5,122,118
123,5,123,111
124,4,124,103
125,4,125,103
126,4,126,97
127,4,127,96
128,4,128,84
129,4,129,83
130,4,130,80
131,4,131,74
132,4,132,72
133,4,133,65
