0,250,0,27
1,275,1,28
2,301,2,27
3,327,3,32
4,355,4,34
5,385,5,31
6,418,6,27
7,455,7,29
8,486,8,32
9,537,9,32
10,577,10,35
11,634,11,36
12,688,12,38
13,759,13,41
14,830,14,45
15,889,15,45
16,958,16,45
17,1051,17,46
18,1132,18,46
19,1232,19,47
20,1339,20,52
21,1449,21,55
22,1574,22,56
23,1700,23,58
24,1854,24,61
25,2025,25,63
26,2218,26,64
27,2410,27,65
28,2635,28,66
29,2886,29,75
30,3134,30,78
31,3382,31,79
32,3675,32,84
33,4010,33,88
34,4301,34,92
35,4694,35,97
36,5115,36,103
37,5520,37,113
38,5978,38,123
39,6499,39,132
40,7061,40,142
41,7688,41,153
42,8341,42,158
43,9020,43,173
44,9717,44,187
45,10464,45,202
46,11377,46,221
47,12286,47,227
48,13298,48,240
49,14327,49,255
50,15488,50,278
51,16720,51,293
52,18125,52,312
53,19674,53,329
54,21265,54,356
55,23025,55,383
56,24919,56,408
57,27034,57,439
58,29305,58,464
59,31740,59,494
60,34466,60,529
61,37251,61,552
62,40394,62,584
63,43828,63,615
64,47563,64,651
65,51620,65,693
66,56043,66,732
67,60885,67,775
68,66205,68,826
69,71853,69,857
70,78217,70,900
71,85000,71,971
72,92528,72,1045
73,100780,73,1115
74,109663,74,1185
75,119504,75,1259
76,130197,76,1330
77,142053,77,1416
78,154966,78,1503
79,168955,79,1588
80,184273,80,1699
81,201177,81,1796
82,219606,82,1893
83,239528,83,2004
84,261529,84,2146
85,285242,85,2283
86,311415,86,2420
