206,16,206,263,206,329.25
207,19,207,258,207,335.75
208,18,208,249,208,346.25
209,17,209,245,209,355.25
210,15,210,242,210,363.5
211,16,211,238,211,369.25
212,18,212,237,212,377.75
213,19,213,222,213,382
214,16,214,212,214,388.5
215,14,215,209,215,395.75
216,14,216,205,216,404
217,15,217,195,217,408.5
218,18,218,189,218,412.5
219,19,219,185,219,419.25
220,21,220,184,220,424.75
221,25,221,179,221,430
222,30,222,175,222,431.5
223,30,223,175,223,434.5
224,31,224,166,224,436.75
225,32,225,158,225,438.5
226,34,226,155,226,438.25
227,35,227,151,227,439.75
228,34,228,139,228,440.75
229,30,229,132,229,442.5
230,32,230,133,230,443.75
231,34,231,130,231,444.5
232,36,232,127,232,444.75
233,38,233,122,233,444.75
234,39,234,117,234,446.25
235,42,235,114,235,444.5
236,42,236,111,236,443.5
237,41,237,108,237,441
238,41,238,106,238,439
239,42,239,104,239,440
240,44,240,100,240,439
241,47,241,98,241,438.25
242,51,242,93,242,435.5
243,57,243,88,243,432.5
244,62,244,87,244,428
245,64,245,86,245,422.75
246,72,246,84,246,416.25
247,73,247,80,247,409
248,77,248,77,248,403
249,86,249,77,249,397.25
250,89,250,80,250,389.25
251,93,251,80,251,381.25
252,104,252,80,252,371.75
253,107,253,82,253,359.5
254,119,254,81,254,348.25
255,124,255,81,255,338.5
256,133,256,78,256,330.25
257,134,257,77,257,318.25
258,144,258,79,258,308
259,149,259,80,259,297
260,163,260,81,260,285.5
261,174,261,78,261,272
262,191,262,73,262,258.25
263,198,263,74,263,244.25
264,213,264,71,264,231.25
265,230,265,74,265,219.75
266,237,266,72,266,206
267,253,267,73,267,193.75
268,265,268,75,268,181.75
269,284,269,75,269,171
270,309,270,77,270,158
271,337,271,73,271,144.5
272,359,272,71,272,130.25
273,383,273,72,273,117.25
274,418,274,72,274,103
275,449,275,74,275,92
276,478,276,73,276,83
277,506,277,72,277,71.25
278,532,278,73,278,62.25
279,558,279,73,279,55.25
280,602,280,76,280,45.5
281,630,281,79,281,37.75
282,658,282,82,282,33.75
283,704,283,84,283,29
284,732,284,87,284,23.5
285,769,285,89,285,19
286,806,286,89,286,16.5
287,858,287,91,287,12.25
288,890,288,94,288,9.5
289,906,289,97,289,8.75
290,908,290,101,290,8
291,926,291,103,291,6.5
292,957,292,104,292,6.5
293,952,293,107,293,6.75
294,955,294,110,294,6.75
